Class1(From),Class2(To),isExternalDep,isSuperClass,isImplementingInterface,hasReturn,hasParameter,hasBinding,instantiates,hasField,hasLocalVariable,hasCast,numberOfStaticMethodsCalled,StaticMethodsCalled,numberOfMethodsCalled,MethodsCalled
net.zypr.api.vo.ServiceDetailsVO,java.beans.PropertyChangeSupport,1,0,0,0,0,0,0,0,0,0,0,[  ],1,[  firePropertyChange ]
net.zypr.api.bgprocesses.MessageRetriever,net.zypr.api.bgprocesses.BackgroundProcess,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
net.zypr.api.vo.EMailAddressVO,net.zypr.api.vo.GenericVO,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
net.zypr.api.vo.PhoneNumberVO,org.json.simple.JSONObject,1,0,0,1,1,0,1,0,1,0,0,[  ],2,[  get put ]
net.zypr.api.utils.DateUtils,java.text.SimpleDateFormat,1,0,0,0,0,0,1,1,0,0,0,[  ],2,[  format parse ]
net.zypr.api.vo.ItemVO,java.beans.PropertyChangeSupport,1,0,0,0,0,0,0,0,0,0,0,[  ],1,[  firePropertyChange ]
net.zypr.api.POI,net.zypr.api.vo.GeoBoundsItemsVO,0,0,0,1,0,0,1,0,0,0,0,[  ],0,[  ]
net.zypr.api.Auth,org.json.simple.JSONObject,1,0,0,1,0,0,0,0,1,1,0,[  ],1,[  get ]
net.zypr.api.Nav,net.zypr.api.vo.GeoPointVO,0,0,0,0,1,0,1,0,0,0,0,[  ],1,[  toJSON ]
net.zypr.api.enums.VoiceCommandResponse,org.objectweb.asm.Type,1,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
net.zypr.api.Protocol$2,org.apache.http.HttpEntity,1,0,0,0,0,0,0,0,1,0,0,[  ],1,[  getContentEncoding ]
net.zypr.api.vo.GeoBoundsVO,net.zypr.api.vo.GeoPositionVO,0,0,0,1,1,0,1,1,1,0,0,[  ],2,[  getLongitude getLatitude ]
net.zypr.api.vo.VoiceCommandVO,net.zypr.api.enums.VoiceCommandState,0,0,0,1,1,0,0,1,0,0,1,[  valueOf ],1,[  toString ]
net.zypr.api.enums.APIVerbs,org.objectweb.asm.Type,1,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
net.zypr.api.vo.PhoneNumberVO,java.beans.PropertyChangeSupport,1,0,0,0,0,0,0,0,0,0,0,[  ],1,[  firePropertyChange ]
net.zypr.api.API,net.zypr.api.exceptions.APIProtocolException,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
net.zypr.api.Social,net.zypr.api.vo.GeoBoundsVO,0,0,0,0,1,0,0,0,1,0,0,[  ],1,[  toJSONString ]
net.zypr.api.API$1,net.zypr.api.vo.ActionHandlerVO,0,0,0,0,1,0,0,1,0,0,0,[  ],1,[  getCallbackURI ]
net.zypr.api.Protocol,net.zypr.api.Session,0,0,0,0,0,0,0,0,1,0,1,[  getInstance ],6,[  addPartialAPICall addActiveRequestCount getPosition getToken removeActiveRequestCount removePartialAPICall ]
net.zypr.api.enums.TimeFormatPattern,org.objectweb.asm.Type,1,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
net.zypr.api.Media,org.json.simple.JSONArray,1,0,0,0,0,0,0,0,1,0,0,[  ],2,[  size get ]
net.zypr.api.audio.gsm0610.DetectClick,net.zypr.api.audio.gsm0610.DetectClick$Status,0,0,0,1,0,0,0,1,0,0,0,[  ],1,[  ordinal ]
net.zypr.api.Session,java.beans.PropertyChangeListener,1,0,0,0,1,0,0,0,0,0,0,[  ],0,[  ]
net.zypr.api.Map,net.zypr.api.exceptions.APIInvalidServiceException,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
net.zypr.api.API,net.zypr.api.utils.Debug,0,0,0,0,0,0,0,0,0,0,2,[  displayWarning displayStack ],0,[  ]
net.zypr.api.enums.MessageType,org.objectweb.asm.Type,1,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
net.zypr.api.vo.InfoMessageSentTypeVO,org.json.simple.JSONObject,1,0,0,1,0,0,1,0,1,0,0,[  ],1,[  put ]
net.zypr.api.enums.DateFormatPattern,org.objectweb.asm.Type,1,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
net.zypr.api.Protocol,net.zypr.api.exceptions.APICommunicationException,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
net.zypr.api.Shop,net.zypr.api.exceptions.APIInvalidServiceException,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
net.zypr.api.audio.GSMOutputStream,net.zypr.api.audio.gsm0610.Main,0,0,0,0,0,0,1,1,0,0,0,[  ],1,[  Encode ]
net.zypr.api.Social,net.zypr.api.vo.ServiceDetailsVO,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
net.zypr.api.vo.ItemVO,org.json.simple.JSONArray,1,0,0,0,0,0,1,0,1,1,0,[  ],3,[  add size get ]
net.zypr.api.API,net.zypr.api.Protocol,0,0,0,0,0,0,1,0,1,0,0,[  ],6,[  getDataArrayJSON buildParameters getStatusCode getStatusMessage doGetJSON buildURL ]
net.zypr.api.vo.GeoBoundsItemsVO,net.zypr.api.vo.ItemVO,0,0,0,1,1,0,0,1,0,0,0,[  ],0,[  ]
net.zypr.api.bgprocesses.MessageRetriever,net.zypr.api.API,0,0,0,0,0,0,0,0,1,0,1,[  getInstance ],1,[  getSocial ]
net.zypr.api.vo.WeatherCurrentVO,net.zypr.api.exceptions.APIProtocolException,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
net.zypr.api.vo.ReviewVO,org.json.simple.JSONObject,1,0,0,1,1,0,1,0,1,0,0,[  ],2,[  get put ]
net.zypr.api.vo.ServiceAuthVO,net.zypr.api.vo.GenericVO,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
net.zypr.api.Protocol,org.apache.http.conn.ssl.SSLSocketFactory,1,0,0,0,0,0,0,0,0,0,1,[  getSocketFactory ],0,[  ]
net.zypr.api.Protocol,org.apache.http.client.methods.HttpGet,1,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
net.zypr.api.vo.InfoPOITypeVO,org.json.simple.JSONArray,1,0,0,0,0,0,1,0,1,1,0,[  ],3,[  add size get ]
net.zypr.api.vo.InfoPOITypeVO,net.zypr.api.vo.CategoryVO,0,0,0,1,1,0,1,1,0,0,0,[  ],1,[  toJSON ]
net.zypr.api.Calendar,net.zypr.api.vo.ServiceVO,0,0,0,1,1,0,0,0,0,0,0,[  ],0,[  ]
net.zypr.api.audio.gsm0610.Preprocess,net.zypr.api.audio.gsm0610.Util,0,0,0,0,0,0,0,0,0,0,5,[  GSM_L_ADD GSM_ADD SASR_L SASR_W GSM_MULT_R ],0,[  ]
net.zypr.api.audio.gsm0610.Main,net.zypr.api.audio.gsm0610.LongTerm,0,0,0,0,0,0,1,1,0,0,0,[  ],1,[  Gsm_Long_Term_Predictor ]
net.zypr.api.vo.ShopItemInCartVO,net.zypr.api.exceptions.APIProtocolException,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
net.zypr.api.vo.AddressVO,org.json.simple.JSONObject,1,0,0,1,1,0,1,0,1,0,0,[  ],2,[  get put ]
net.zypr.api.vo.GeographyVO,net.zypr.api.vo.GeoPositionVO,0,0,0,1,1,0,1,1,0,0,0,[  ],1,[  toJSON ]
net.zypr.api.vo.VerbParameterVO,java.beans.PropertyChangeSupport,1,0,0,0,0,0,0,0,0,0,0,[  ],1,[  firePropertyChange ]
net.zypr.api.API,net.zypr.api.Map,0,0,0,1,0,0,1,1,0,0,0,[  ],0,[  ]
net.zypr.api.Auth,net.zypr.api.enums.APIVerbs,0,0,0,0,1,0,0,0,0,0,0,[  ],0,[  ]
net.zypr.api.Auth,net.zypr.api.Session,0,0,0,0,0,0,0,0,1,0,1,[  getInstance ],8,[  setPassword setUsername setToken getToken loggedIn loggedOut setDeviceID setServiceAuthStatus ]
