Class1(From),Class2(To),isExternalDep,isSuperClass,isImplementingInterface,hasReturn,hasParameter,hasBinding,instantiates,hasField,hasLocalVariable,hasCast,numberOfStaticMethodsCalled,StaticMethodsCalled,numberOfMethodsCalled,MethodsCalled
org.wicketstuff.yui.markup.html.editor.YuiSimpleEditor,org.apache.wicket.model.IModel,1,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.wicketstuff.yui.markup.html.menu2.action.AjaxLinkAction,org.wicketstuff.yui.markup.html.menu2.IYuiMenuAction,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.wicketstuff.yui.markup.html.slider.YuiSlider,org.apache.wicket.markup.html.WebMarkupContainer,1,0,0,1,0,0,1,1,1,0,0,[  ],3,[  add getMarkupId setOutputMarkupId ]
org.wicketstuff.yui.markup.html.container.YuiWindows,org.wicketstuff.yui.markup.html.container.YuiPanel,0,0,0,0,0,0,0,0,1,0,0,[  ],4,[  getMarkupId setOutputMarkupId setUsesOverlayManager getId ]
org.wicketstuff.yui.markup.html.menu2.YuiMenuGroup,org.wicketstuff.yui.markup.html.menu2.YuiMenuGroup$2,0,0,0,0,0,0,1,0,1,0,0,[  ],1,[  setReuseItems ]
org.wicketstuff.yui.markup.html.dialog.DialogSettings$UnderlayType,org.objectweb.asm.Type,1,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
org.wicketstuff.yui.markup.html.menu2.YuiMenuBarItem,org.wicketstuff.yui.markup.html.menu2.YuiMenuBarItem$1,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.wicketstuff.yui.markup.html.menu.YuiMenuBar$1,org.apache.wicket.markup.html.list.ListView,1,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.wicketstuff.yui.markup.html.dragdrop.DragDropGroup$2,org.wicketstuff.yui.markup.html.dragdrop.DragDropGroup,0,0,0,0,1,0,0,1,0,0,1,[  access$000 ],0,[  ]
org.wicketstuff.yui.markup.html.menu2.contextMenu.MenuItem,org.wicketstuff.yui.markup.html.menu2.IYuiMenuAction,0,0,0,0,1,0,0,1,1,0,0,[  ],2,[  onClick getName ]
org.wicketstuff.yui.markup.html.container.IYuiWindow,org.apache.wicket.Component,1,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
org.wicketstuff.yui.markup.html.selection.Selection$SelectionBox$2,org.wicketstuff.yui.helper.CSSInlineStyle,0,0,0,0,0,1,0,0,1,1,0,[  ],1,[  getStyle ]
org.wicketstuff.yui.markup.html.container.YuiWindow,org.apache.wicket.model.IModel,1,0,0,0,0,1,0,1,1,0,0,[  ],0,[  ]
org.wicketstuff.yui.markup.html.image.URIImage,org.apache.wicket.markup.ComponentTag,1,0,0,0,1,0,0,0,1,0,0,[  ],1,[  put ]
org.wicketstuff.yui.markup.html.dialog.Dialog$1,org.apache.wicket.model.AbstractReadOnlyModel,1,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.wicketstuff.yui.markup.html.animselect.AnimSelectSettings,org.objectweb.asm.Type,1,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
org.wicketstuff.yui.markup.html.dragdrop.DragDropGroup,org.wicketstuff.yui.markup.html.dragdrop.TargetSlotList,0,0,0,1,0,0,0,1,0,0,0,[  ],4,[  getSize getTargetSlot getId getTargetList ]
org.wicketstuff.yui.markup.html.sortable.SortableList,org.apache.wicket.markup.html.WebMarkupContainer,1,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.wicketstuff.yui.markup.html.animselect.AnimSelectOptionBox$1,org.wicketstuff.yui.markup.html.animselect.AnimSelectOptionBox,0,0,0,0,1,0,0,1,0,0,0,[  ],1,[  getAnimSelectInitializationScript ]
org.wicketstuff.yui.markup.html.menu2.YuiMenuGroup,org.wicketstuff.yui.markup.html.menu2.YuiMenuGroup$1,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.wicketstuff.yui.markup.html.anim.stretch.StretchPanel,org.wicketstuff.yui.markup.html.contributor.YuiHeaderContributor,0,0,0,0,0,0,0,0,0,0,1,[  forModule ],0,[  ]
org.wicketstuff.yui.behavior.dragdrop.YuiDDList,org.apache.wicket.Component,1,0,0,1,1,0,0,0,1,0,0,[  ],4,[  getMarkupId add setOutputMarkupId getPage ]
org.wicketstuff.yui.behavior.animation.YuiEffect,org.wicketstuff.yui.helper.Attributes,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.wicketstuff.yui.markup.html.editor.YuiSimpleEditor,org.apache.wicket.IRequestTarget,1,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
org.wicketstuff.yui.markup.html.menu2.YuiMenuBar$2,org.wicketstuff.yui.markup.html.menu2.YuiMenuBar,0,0,0,0,1,0,0,1,0,0,0,[  ],0,[  ]
org.wicketstuff.yui.markup.html.menu.AbstractYuiMenu,org.apache.wicket.markup.html.panel.Panel,1,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.wicketstuff.yui.markup.html.menu2.YuiMenuGroup,org.wicketstuff.yui.markup.html.contributor.YuiHeaderContributor,0,0,0,0,0,0,0,0,0,0,1,[  forModule ],0,[  ]
org.wicketstuff.yui.markup.html.anim.AnimGroup,org.apache.wicket.behavior.StringHeaderContributor,1,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.wicketstuff.yui.markup.html.carousel.YuiCarousel,org.wicketstuff.yui.markup.html.carousel.YuiCarousel$1,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.wicketstuff.yui.markup.html.tabs.dynamictabbedpanel.DynamicAjaxTabbedPanel$3,org.apache.wicket.ajax.markup.html.AjaxFallbackLink,1,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
