Class1(From),Class2(To),isExternalDep,isSuperClass,isImplementingInterface,hasReturn,hasParameter,hasBinding,instantiates,hasField,hasLocalVariable,hasCast,numberOfStaticMethodsCalled,StaticMethodsCalled,numberOfMethodsCalled,MethodsCalled
org.jclouds.azureblob.blobstore.AzureBlobRequestSigner,org.jclouds.blobstore.functions.BlobToHttpGetOptions,1,0,0,0,0,1,0,1,1,1,0,[  ],1,[  apply ]
org.jclouds.azureblob.domain.LeaseStatus,com.google.common.base.CaseFormat,1,0,0,0,0,0,0,0,1,0,0,[  ],1,[  to ]
org.jclouds.azureblob.functions.ParsePublicAccessHeader,org.jclouds.azureblob.domain.PublicAccess,0,0,0,1,0,0,0,0,0,0,1,[  valueOf ],0,[  ]
org.jclouds.azureblob.AzureBlobApiMetadata,org.jclouds.azureblob.AzureBlobAsyncClient,0,0,0,0,0,1,0,0,0,0,0,[  ],0,[  ]
org.jclouds.azureblob.blobstore.AzureAsyncBlobStore,org.jclouds.azureblob.blobstore.functions.ContainerToResourceMetadata,0,0,0,1,0,1,0,1,1,1,0,[  ],0,[  ]
org.jclouds.azureblob.domain.BlobProperties,org.jclouds.azureblob.domain.LeaseStatus,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
org.jclouds.azureblob.blobstore.config.AzureBlobStoreContextModule,com.google.inject.binder.ScopedBindingBuilder,1,0,0,0,0,0,0,0,1,0,0,[  ],1,[  in ]
org.jclouds.azureblob.blobstore.AzureAsyncBlobStore,org.jclouds.azureblob.options.CreateContainerOptions,0,0,0,0,0,0,1,0,1,0,0,[  ],1,[  withPublicAccess ]
org.jclouds.azureblob.blobstore.config.AzureBlobStoreContextModule,org.jclouds.azureblob.blobstore.config.AzureBlobStoreContextModule$1,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
org.jclouds.azureblob.blobstore.AzureBlobStore,org.jclouds.blobstore.functions.BlobToHttpGetOptions,1,0,0,0,0,1,0,1,1,1,0,[  ],1,[  apply ]
org.jclouds.azureblob.domain.MutableContainerPropertiesWithMetadata,java.net.URI,1,0,0,0,1,0,0,0,0,0,0,[  ],0,[  ]
org.jclouds.azureblob.blobstore.AzureAsyncBlobStore$1,org.jclouds.azure.storage.domain.BoundedSet,1,0,0,0,0,1,0,0,1,1,0,[  ],1,[  getNextMarker ]
org.jclouds.azureblob.AzureBlobAsyncClient,org.jclouds.http.options.GetOptions,1,0,0,0,0,1,0,0,0,0,0,[  ],0,[  ]
org.jclouds.azureblob.xml.ContainerNameEnumerationResultsHandler,org.jclouds.azureblob.domain.BlobProperties,0,0,0,0,0,1,0,0,1,0,0,[  ],0,[  ]
org.jclouds.azureblob.blobstore.AzureAsyncBlobStore,org.jclouds.blobstore.domain.PageSet,1,0,0,0,0,1,0,0,0,0,0,[  ],0,[  ]
org.jclouds.azureblob.blobstore.strategy.FindMD5InBlobProperties,org.jclouds.azureblob.domain.BlobProperties,0,0,0,0,0,0,0,0,1,0,0,[  ],1,[  getContentMetadata ]
org.jclouds.azureblob.AzureBlobApiMetadata,org.jclouds.rest.internal.BaseRestApiMetadata,1,1,0,0,0,0,0,0,0,0,1,[  defaultProperties ],0,[  ]
org.jclouds.azureblob.AzureBlobAsyncClient,org.jclouds.azure.storage.options.ListOptions,1,0,0,0,0,1,0,0,0,0,0,[  ],0,[  ]
