Class1(From),Class2(To),isExternalDep,isSuperClass,isImplementingInterface,hasReturn,hasParameter,hasBinding,instantiates,hasField,hasLocalVariable,hasCast,numberOfStaticMethodsCalled,StaticMethodsCalled,numberOfMethodsCalled,MethodsCalled
org.mr.plugins.discovery.ADControlSender,org.mr.core.net.TransportInfo,0,0,0,0,0,0,1,0,1,0,0,[  ],3,[  getPort getIp getTransportInfoType ]
org.mr.api.jms.MantaTopic,javax.jms.Destination,1,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.mr.core.net.NetworkSelector,java.nio.channels.CancelledKeyException,1,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
org.mr.core.cmc.GarbageCollectionJMX,org.mr.core.cmc.GarbageCollectionJMXMBean,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.mr.core.net.LocalSSLTransport,org.mr.core.net.TransportInfo,0,0,0,1,0,0,1,1,0,0,0,[  ],1,[  getSocketAddress ]
org.mr.kernel.delivery.PostOfficeBox,org.mr.core.protocol.MantaBusMessage,0,0,0,1,1,0,0,0,1,1,0,[  ],9,[  addHeader getDeliveryCount getMessageId getValidUntil setDeliveryCount setRecipient isRerouted getDeliveryMode getRecipient ]
org.mr.core.util.byteable.IncomingByteBufferPool,org.mr.core.util.SynchronizedQueue,0,0,0,0,0,0,1,1,0,0,0,[  ],3,[  enqueue size dequeue ]
org.mr.core.net.Transport,org.mr.core.configuration.ConfigManager,0,0,0,0,0,0,0,0,1,0,0,[  ],3,[  getIntProperty getShortProperty getBooleanProperty ]
org.mr.core.util.patterns.flow.MessageCondition,org.mr.core.util.patterns.flow.AbstractCondition,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.mr.api.jms.MantaDestination,org.mr.core.util.byteable.ByteableRegistry,0,0,0,0,0,0,0,0,0,0,1,[  registerByteableFactory ],0,[  ]
org.mr.api.jms.MantaMessageConsumer,org.mr.core.util.SystemTime,0,0,0,0,0,0,0,0,0,0,2,[  currentTimeMillis gmtCurrentTimeMillis ],0,[  ]
org.mr.core.util.xml.sax.QueueContentHandler,org.mr.core.util.xml.sax.QueueContentHandler$StartElement,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
org.mr.api.jms.MantaXASession,javax.jms.Session,1,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
org.mr.api.jms.MantaTopic,javax.jms.Topic,1,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.mr.api.jms.selector.syntax.DefaultExpressionFactory,org.mr.api.jms.selector.syntax.Or,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.mr.plugins.coordinators.DynamicQueuesCoordinator,org.mr.kernel.services.queues.VirtualQueuesManager,0,0,0,0,0,0,0,0,1,0,0,[  ],1,[  getQueueMaster ]
org.mr.api.jms.MantaMessage,org.mr.core.util.byteable.ByteableInputStream,0,0,0,0,1,0,0,0,1,0,0,[  ],10,[  readUTF readLong readShort readDouble readFloat readBoolean readByteable readInt readByte readASCIIString ]
org.mr.api.jms.selector.syntax.GreaterEqual,org.mr.api.jms.selector.syntax.LogicalOperator,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.mr.core.persistent.db.DBPersistencyProxy,java.sql.Blob,1,0,0,0,0,0,0,0,1,0,0,[  ],2,[  getBinaryStream length ]
org.mr.core.persistent.PersistentQueue,org.mr.core.persistent.PersistentEvent,0,0,0,0,0,0,1,0,1,1,0,[  ],6,[  setEntryName getEntryName setPersistentState isPersistentState getEntry setEntry ]
org.mr.kernel.services.ServiceProducer,org.mr.core.util.byteable.ByteableOutputStream,0,0,0,0,1,0,0,0,1,0,0,[  ],3,[  writeByte writeASCIIString writeUTF ]
org.mr.kernel.services.queues.QueueService,org.mr.kernel.services.queues.QueueServiceMBean,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.mr.plugins.coordinators.DynamicQueuesCoordinator,org.apache.commons.logging.Log,1,0,0,0,0,0,0,1,0,0,0,[  ],4,[  isInfoEnabled isErrorEnabled error info ]
org.mr.MantaAgent,org.mr.core.cmc.MantaJMXManagement,0,0,0,0,0,0,0,0,1,0,2,[  registerJMXBeans getInstance ],1,[  startConnections ]
org.mr.api.jms.MantaSession,javax.jms.TextMessage,1,0,0,1,0,0,0,0,1,1,0,[  ],1,[  getText ]
