Class1(From),Class2(To),isExternalDep,isSuperClass,isImplementingInterface,hasReturn,hasParameter,hasBinding,instantiates,hasField,hasLocalVariable,hasCast,numberOfStaticMethodsCalled,StaticMethodsCalled,numberOfMethodsCalled,MethodsCalled
com.browseengine.bobo.search.BoboSearcher2,org.apache.lucene.search.IndexSearcher,1,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.search.section.AndNode,com.browseengine.bobo.search.section.SectionSearchQueryPlan,0,1,0,0,1,0,0,1,1,0,0,[  ],2,[  fetchSec fetchDoc ]
com.browseengine.bobo.facets.filter.FacetFilter,com.browseengine.bobo.api.BoboIndexReader,0,0,0,0,1,0,0,0,1,0,0,[  ],1,[  maxDoc ]
com.browseengine.bobo.facets.impl.GeoSimpleFacetCountCollector,com.browseengine.bobo.api.FacetIterator,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.CombinedFacetAccessible,com.browseengine.bobo.facets.impl.CombinedDoubleFacetIterator,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.util.SearchResultMerger$MergedIterator$IteratorCtx,com.browseengine.bobo.util.SearchResultMerger$MergedIterator,0,0,0,0,0,0,0,1,1,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.filter.GeoSimpleFacetFilter$1,com.browseengine.bobo.facets.filter.GeoSimpleFacetFilter,0,0,0,0,1,0,0,1,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.impl.BucketFacetHandler,com.browseengine.bobo.facets.filter.RandomAccessFilter,0,0,0,1,0,1,0,0,1,1,0,[  ],0,[  ]
com.browseengine.bobo.query.scoring.MultiplicativeFacetTermScoringFunctionFactory,com.browseengine.bobo.query.scoring.FacetTermScoringFunctionFactory,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.query.scoring.FacetTermQuery$FacetTermWeight,org.apache.lucene.search.Scorer,1,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.impl.BucketFacetHandler,com.browseengine.bobo.sort.DocComparatorSource,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.filter.MultiValueORFacetFilter,com.browseengine.bobo.facets.filter.MultiValueORFacetFilter$2,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.sort.DocComparatorSource$FloatDocComparatorSource,com.browseengine.bobo.sort.DocComparatorSource$FloatDocComparatorSource$1,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.sort.SortCollector,com.browseengine.bobo.api.Browsable,0,0,0,0,1,1,0,0,1,0,0,[  ],2,[  getFacetNames getFacetHandler ]
com.browseengine.bobo.query.ScoreAdjusterQuery$ScoreAdjusterWeight,org.apache.lucene.search.Query,1,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.sort.SortCollector,com.browseengine.bobo.util.MemoryManager,0,0,0,0,0,0,1,1,0,0,0,[  ],2,[  getAdminMBean release ]
com.browseengine.bobo.facets.impl.FilteredRangeFacetHandler,com.browseengine.bobo.api.BoboIndexReader,0,0,0,0,1,0,0,0,1,0,0,[  ],1,[  getFacetHandler ]
com.browseengine.bobo.facets.filter.AdaptiveFacetFilter,com.browseengine.bobo.docidset.RandomAccessDocIdSet,0,0,0,1,0,0,0,0,1,0,0,[  ],0,[  ]
com.browseengine.bobo.sort.DocComparatorSource$DocIdDocComparatorSource$1,com.browseengine.bobo.sort.DocComparatorSource$DocIdDocComparatorSource,0,0,0,0,1,0,0,1,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.impl.SimpleFacetHandler,com.browseengine.bobo.facets.filter.FacetOrFilter,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.sort.SortCollector,org.apache.lucene.search.MatchAllDocsQuery,1,0,0,0,0,0,0,0,0,1,0,[  ],0,[  ]
com.browseengine.bobo.facets.impl.CombinedLongFacetIterator$LongIteratorNode,com.browseengine.bobo.api.LongFacetIterator,0,0,0,0,1,0,0,1,1,0,0,[  ],1,[  nextLong ]
com.browseengine.bobo.facets.impl.PathFacetHandler$1,com.browseengine.bobo.facets.impl.PathFacetHandler,0,0,0,0,1,0,0,1,0,0,4,[  access$400 access$300 access$200 access$100 ],1,[  getFacetData ]
com.browseengine.bobo.facets.data.TermNumberList,com.browseengine.bobo.facets.data.TermNumberList$1,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.query.RecencyBoostScorerBuilder,org.apache.lucene.search.Scorer,1,0,0,1,1,0,0,0,1,0,0,[  ],1,[  getSimilarity ]
com.browseengine.bobo.sort.MultiDocIdComparatorSource,org.apache.lucene.index.IndexReader,1,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.impl.MultiValueFacetHandler,com.browseengine.bobo.query.scoring.FacetScoreable,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.impl.PathFacetIterator,com.browseengine.bobo.api.FacetIterator,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.sort.DocComparatorSource$StringOrdComparatorSource$1,org.apache.lucene.search.FieldCache$StringIndex,1,0,0,0,1,0,0,1,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.impl.DefaultFacetCountCollector,com.browseengine.bobo.facets.impl.DefaultFacetCountCollector$1,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.impl.DefaultLongFacetIterator,com.browseengine.bobo.api.LongFacetIterator,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.impl.GeoFacetHandler$1,com.browseengine.bobo.facets.FacetCountCollector,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.filter.CompactMultiValueFacetFilter$1,com.browseengine.bobo.facets.filter.CompactMultiValueFacetFilter,0,0,0,0,1,0,0,1,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.impl.SimpleFacetHandler,com.browseengine.bobo.query.scoring.FacetScoreable,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.sort.DocComparatorSource$StringValComparatorSource$1,com.browseengine.bobo.sort.DocComparator,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.filter.RandomAccessNotFilter,com.browseengine.bobo.docidset.RandomAccessDocIdSet,0,0,0,1,0,0,0,0,1,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.impl.DynamicRangeFacetHandler,com.browseengine.bobo.facets.FacetCountCollectorSource,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.AbstractRuntimeFacetHandlerFactory,com.browseengine.bobo.facets.FacetHandlerInitializerParam,0,0,0,0,0,1,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.impl.GeoFacetCountCollector,com.browseengine.bobo.facets.filter.GeoFacetFilter,0,0,0,0,0,0,0,0,0,0,1,[  inCircle ],0,[  ]
com.browseengine.bobo.facets.data.MultiValueFacetDataCache$MultiFacetDocComparatorSource$1,com.browseengine.bobo.util.BigNestedIntArray,0,0,0,0,0,0,0,0,1,0,0,[  ],2,[  compare getTranslatedData ]
com.browseengine.bobo.facets.filter.AdaptiveFacetFilter$TermListRandomAccessDocIdSet$TermDocIdSet$1,org.apache.lucene.search.DocIdSetIterator,1,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.impl.SimpleGroupbyFacetHandler$1,com.browseengine.bobo.facets.FacetCountCollectorSource,0,1,0,0,0,0,0,0,1,0,0,[  ],1,[  getFacetCountCollector ]
com.browseengine.bobo.sort.SortCollectorImpl,com.browseengine.bobo.api.BrowseHit,0,0,0,1,0,1,1,0,1,0,0,[  ],13,[  getGroupValue setTermFreqMap setFieldValues getField setComparable setRawGroupValue setDocid getRawField setGroupHitsCount setStoredFields setRawFieldValues setGroupValue setScore ]
com.browseengine.bobo.search.BoboSearcher2$OnePostFilterFacetValidator,com.browseengine.bobo.facets.FacetCountCollector,0,0,0,0,0,0,0,0,1,0,0,[  ],1,[  collect ]
com.browseengine.bobo.api.BoboSubBrowser,org.objectweb.asm.Type,1,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.filter.MultiValueORFacetFilter,com.browseengine.bobo.facets.filter.RandomAccessFilter,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.index.MakeBobo,org.apache.commons.cli.BasicParser,1,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.client.BoboCmdlineApp,com.browseengine.bobo.api.BrowseRequest,0,0,0,0,0,0,0,0,1,0,0,[  ],2,[  toString setQuery ]
com.browseengine.bobo.facets.impl.SimpleFacetHandler$1,com.browseengine.bobo.facets.impl.SimpleFacetHandler,0,0,0,0,1,0,0,1,0,0,0,[  ],1,[  getFacetData ]
com.browseengine.bobo.facets.impl.BucketFacetHandler,com.browseengine.bobo.facets.data.FacetDataCache,0,0,0,0,0,1,0,0,1,1,0,[  ],1,[  getNumItems ]
com.browseengine.bobo.search.section.TermNode,org.apache.lucene.index.TermPositions,1,0,0,0,0,0,0,0,0,0,0,[  ],4,[  getPayload nextPosition getPayloadLength isPayloadAvailable ]
com.browseengine.bobo.api.BoboIndexReader,org.apache.lucene.document.Field,1,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.impl.FilteredRangeFacetHandler,com.browseengine.bobo.api.FacetSpec,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
com.browseengine.bobo.search.section.SectionSearchQueryPlanBuilder,org.apache.lucene.search.BooleanClause,1,0,0,0,0,0,0,0,1,0,0,[  ],3,[  isRequired isProhibited getQuery ]
com.browseengine.bobo.docidset.EmptyDocIdSet$EmptyDocIdSetIterator,com.browseengine.bobo.docidset.EmptyDocIdSet$1,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
com.browseengine.bobo.search.section.SectionSearchQueryPlanBuilder,com.browseengine.bobo.search.section.SectionSearchQueryPlan,0,0,0,1,0,1,0,0,1,1,0,[  ],0,[  ]
com.browseengine.bobo.api.BoboSubBrowser,com.browseengine.bobo.facets.RuntimeFacetHandlerFactory,0,0,0,0,0,1,0,0,1,1,0,[  ],1,[  get ]
com.browseengine.bobo.facets.CombinedFacetAccessible,com.browseengine.bobo.facets.impl.CombinedLongFacetIterator,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.index.digest.FileDigester,java.nio.charset.Charset,1,0,0,1,1,0,0,1,1,0,0,[  ],0,[  ]
com.browseengine.bobo.sort.SortCollector$2,com.browseengine.bobo.util.MemoryManager$Initializer,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.filter.FacetFilter,com.browseengine.bobo.docidset.RandomAccessDocIdSet,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.impl.SimpleGroupbyFacetHandler,com.browseengine.bobo.facets.FacetHandler$FacetDataNone,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.util.MutableSparseFloatArray,com.browseengine.bobo.util.SparseFloatArray,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.query.scoring.DefaultFacetTermScoringFunctionFactory,com.browseengine.bobo.query.scoring.FacetTermScoringFunctionFactory,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.data.TermIntList,java.text.DecimalFormat,1,0,0,0,0,0,0,0,1,1,0,[  ],1,[  format ]
com.browseengine.bobo.api.BoboSubBrowser,com.browseengine.bobo.api.Browsable,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.filter.FacetFilter$FacetDocIdSetIterator,org.apache.lucene.search.DocIdSetIterator,1,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.data.FacetDataCache$FacetDocComparatorSource,com.browseengine.bobo.sort.DocComparator,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.sort.SortCollector,com.browseengine.bobo.sort.DocComparatorSource$RelevanceDocComparatorSource,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.filter.FacetOrFilter$FacetOrRandomAccessDocIdSet,com.browseengine.bobo.facets.FacetHandler,0,0,0,0,0,1,0,0,1,0,0,[  ],1,[  getFacetData ]
com.browseengine.bobo.sort.SortCollectorImpl,com.browseengine.bobo.sort.SortCollector,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.filter.GeoFacetFilter$GeoDocIdSetIterator,com.browseengine.bobo.facets.filter.GeoFacetFilter,0,0,0,0,0,0,0,0,0,0,1,[  inCircle ],0,[  ]
com.browseengine.bobo.facets.impl.CompactMultiValueFacetHandler,com.browseengine.bobo.util.BigIntArray,0,0,0,0,0,0,1,0,1,0,0,[  ],2,[  add get ]
com.browseengine.bobo.facets.impl.VirtualSimpleFacetHandler,com.browseengine.bobo.facets.impl.VirtualSimpleFacetHandler$1,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.impl.PathFacetCountCollector,com.browseengine.bobo.facets.impl.PathFacetCountCollector$2,0,0,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.search.FacetHitCollector$CurrentPointers,org.apache.lucene.search.DocIdSetIterator,1,0,0,0,0,0,0,1,0,0,0,[  ],0,[  ]
com.browseengine.bobo.query.RecencyBoostScorerBuilder,org.apache.lucene.index.IndexReader,1,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
com.browseengine.bobo.search.FacetHitCollector,org.apache.lucene.search.DocIdSetIterator,1,0,0,0,0,0,0,0,1,0,0,[  ],1,[  nextDoc ]
com.browseengine.bobo.facets.filter.RandomAccessOrFilter,com.browseengine.bobo.facets.filter.RandomAccessFilter,0,1,0,0,0,1,0,0,1,1,0,[  ],2,[  getRandomAccessDocIdSet getFacetSelectivity ]
com.browseengine.bobo.service.BrowseServiceFactory,com.browseengine.bobo.api.BoboIndexReader,0,0,0,1,1,0,0,0,1,0,2,[  indexExists getInstance ],0,[  ]
com.browseengine.bobo.facets.impl.DefaultFacetCountCollector,com.browseengine.bobo.facets.impl.DefaultDoubleFacetIterator,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.filter.GeoSimpleFacetFilter,com.browseengine.bobo.api.BoboIndexReader,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.impl.MultiValueFacetHandler,com.browseengine.bobo.api.BrowseSelection,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.impl.HistogramFacetHandler,com.browseengine.bobo.api.BoboIndexReader,0,0,0,0,1,0,0,0,1,0,0,[  ],1,[  getFacetHandler ]
com.browseengine.bobo.facets.filter.FacetRangeOrFilter$FacetOrRandomAccessDocIdSet,com.browseengine.bobo.api.BoboIndexReader,0,0,0,0,0,1,0,0,1,0,0,[  ],0,[  ]
com.browseengine.bobo.analysis.section.SectionTokenStream,org.apache.lucene.analysis.TokenFilter,1,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.impl.BucketFacetCountCollector,com.browseengine.bobo.api.BrowseFacet,0,0,0,1,0,1,1,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.impl.PathFacetHandler$PathValueConverter,it.unimi.dsi.fastutil.ints.IntSet,1,0,0,0,1,0,0,0,1,0,0,[  ],2,[  add toIntArray ]
com.browseengine.bobo.facets.filter.CompactMultiValueFacetFilter$1,com.browseengine.bobo.facets.filter.CompactMultiValueFacetFilter$CompactMultiValueFacetDocIdSetIterator,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.service.BoboService,org.apache.lucene.store.FSDirectory,1,0,0,0,0,0,0,0,1,0,1,[  open ],0,[  ]
com.browseengine.bobo.sort.DocComparatorSource$DocIdDocComparatorSource$1,org.apache.lucene.search.ScoreDoc,1,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.data.TermIntList,com.browseengine.bobo.facets.data.TermNumberList,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.sort.DocComparatorSource$StringOrdComparatorSource$1,org.apache.lucene.search.ScoreDoc,1,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.filter.FacetRangeFilter,com.browseengine.bobo.facets.filter.FacetRangeFilter$1,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.impl.MultiValuedPathFacetCountCollector,com.browseengine.bobo.facets.data.FacetDataCache,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.impl.DynamicRangeFacetHandler$1,com.browseengine.bobo.api.FacetSpec,0,0,0,0,1,0,0,1,0,0,0,[  ],0,[  ]
com.browseengine.bobo.impl.BrowseServiceImpl,com.browseengine.bobo.service.BrowseServiceFactory,0,0,0,0,0,0,0,0,0,0,1,[  createBrowseService ],0,[  ]
com.browseengine.bobo.index.BoboIndexer$MyDataHandler,org.apache.lucene.document.Document,1,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
com.browseengine.bobo.sort.DocComparatorSource$LongDocComparatorSource,com.browseengine.bobo.sort.DocComparatorSource$LongDocComparatorSource$1,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.sort.DocComparatorSource$DoubleDocComparatorSource,org.apache.lucene.index.IndexReader,1,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
com.browseengine.bobo.util.ListMerger,com.browseengine.bobo.util.ListMerger$MergedIterator,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.impl.PathFacetCountCollector$2,com.browseengine.bobo.api.FacetSpec$FacetSortSpec,0,0,0,0,0,0,0,0,1,0,1,[  values ],1,[  ordinal ]
com.browseengine.bobo.facets.impl.GeoFacetHandler$GeoFacetData,com.browseengine.bobo.facets.data.FacetDataCache,0,0,0,0,0,0,0,0,1,1,0,[  ],0,[  ]
com.browseengine.bobo.api.BoboBrowser,com.browseengine.bobo.api.BoboIndexReader,0,0,0,0,1,1,0,0,1,1,0,[  ],0,[  ]
com.browseengine.bobo.api.BoboIndexReader,org.apache.lucene.index.SegmentReader,1,0,0,0,0,0,0,0,1,1,1,[  get ],2,[  numDeletedDocs getSegmentName ]
com.browseengine.bobo.facets.impl.CombinedDoubleFacetIterator$DoubleIteratorNode,com.browseengine.bobo.api.DoubleFacetIterator,0,0,0,0,1,0,0,1,1,0,0,[  ],1,[  nextDouble ]
com.browseengine.bobo.facets.filter.AdaptiveFacetFilter$TermListRandomAccessDocIdSet,com.kamikaze.docidset.impl.OrDocIdSet,1,0,0,0,0,0,1,0,1,0,0,[  ],1,[  iterator ]
com.browseengine.bobo.search.section.TermNode,com.browseengine.bobo.search.section.TermNode$1,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.data.MultiValueFacetDataCache,com.browseengine.bobo.facets.data.TermValueList,0,0,0,0,0,0,0,0,1,0,0,[  ],2,[  add seal ]
com.browseengine.bobo.facets.filter.MultiValueORFacetFilter$2,org.apache.lucene.search.DocIdSetIterator,1,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.data.TermFixedLengthLongArrayList,org.apache.log4j.Logger,1,0,0,0,0,0,0,1,0,0,1,[  getLogger ],0,[  ]
com.browseengine.bobo.facets.filter.AdaptiveFacetFilter$TermListRandomAccessDocIdSet$TermDocIdSet$1,com.browseengine.bobo.facets.filter.AdaptiveFacetFilter$TermListRandomAccessDocIdSet$TermDocIdSet,0,0,0,0,1,0,0,1,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.impl.CompactMultiValueFacetHandler,com.browseengine.bobo.facets.FacetHandler$TermCountSize,0,0,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.filter.RandomAccessNotFilter$1,com.browseengine.bobo.docidset.RandomAccessDocIdSet,0,1,0,0,1,0,0,1,0,0,0,[  ],1,[  get ]
com.browseengine.bobo.facets.impl.CompactMultiValueFacetHandler,org.objectweb.asm.Type,1,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.impl.CombinedLongFacetIterator,com.browseengine.bobo.facets.impl.CombinedLongFacetIterator$LongFacetPriorityQueue,0,0,0,0,0,0,1,1,0,0,0,[  ],6,[  add pop top size initialize updateTop ]
com.browseengine.bobo.facets.filter.FacetOrFilter$FacetOrRandomAccessDocIdSet,com.browseengine.bobo.api.BoboIndexReader,0,0,0,0,0,1,0,0,1,0,0,[  ],0,[  ]
com.browseengine.bobo.api.MultiBoboBrowser,com.browseengine.bobo.sort.SortCollector,0,0,0,0,0,1,0,0,1,0,1,[  buildSortCollector ],4,[  getTotalHits getTotalGroups topDocs getGroupAccessible ]
